trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
143,False,"{'a': 0.02, 'e': 0.05842566596450083}",20,3,30.61402512152144,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.02, 'e': 0.05726876026546736}",20,8,17.036125305935048,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.02, 'e': 0.056134762834133725}",20,0,27.778266479692242,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
146,False,"{'a': 0.02, 'e': 0.05502322005640723}",20,5,20.598858214231285,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.02, 'e': 0.05393368730035602}",25,15,17.941316443485544,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.02, 'e': 0.05286572873835037}",20,8,17.25527716865372,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.02, 'e': 0.05181891717272583}",20,5,21.735122588215614,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.02, 'e': 0.0507928338648985}",25,18,14.521542941689928,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.02, 'e': 0.049787068367863944}",25,7,6.244320457451323,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
152,False,"{'a': 0.02, 'e': 0.04880121836201296}",30,21,22.43364859229462,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.02, 'e': 0.04783488949419837}",25,11,26.928291034545666,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.02, 'e': 0.046887695219988486}",20,4,12.78629961979147,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.02, 'e': 0.045959256649044204}",30,19,19.412986530075557,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.02, 'e': 0.0450492023935578}",25,15,17.131779263586797,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.02, 'e': 0.04415716841969286}",20,15,9.288599045327246,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.02, 'e': 0.043282797901965896}",20,6,17.177876422395762,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.02, 'e': 0.042425741080511385}",30,19,20.726285489286564,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.02, 'e': 0.04158565512117316}",30,8,39.081880234419764,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.02, 'e': 0.04076220397836621}",25,13,21.487954295096248,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.02, 'e': 0.039955058260653896}",20,13,2.420805499334937,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
